nct_id_i,nct_id_j,similarity
NCT03464019,NCT06255782,0.6792720591745581
NCT03464019,NCT06377930,0.6960529071609175
NCT03464019,NCT06601192,0.745106034972053
NCT03464019,NCT06663137,0.680469195147308
NCT03464019,NCT06736509,0.7526559261307402
NCT03464019,NCT05579249,0.6185858915462785
NCT03464019,NCT06034275,0.5829403273916328
NCT03464019,NCT05065411,0.6690455066352486
NCT03464019,NCT05424276,0.7042958760263989
NCT03464019,NCT04887298,0.5547479186667608
NCT03464019,NCT04073498,0.6166959076966353
NCT03464019,NCT03959527,0.5989882960155096
NCT03464019,NCT04469595,0.7624052319965064
NCT03464019,NCT04370054,0.8551934486246249
NCT03504488,NCT03059992,0.6441314312909311
NCT03504488,NCT03257033,0.9357751883512194
NCT03504488,NCT03363841,0.7829610239907336
NCT03504488,NCT03417102,0.7003755056295567
NCT03504488,NCT03425279,0.9439049752261734
NCT03504488,NCT03464019,0.7883303753520532
NCT03504488,NCT03504488,1.0000000000000002
NCT03504488,NCT04003467,0.6258035472342806
NCT03504488,NCT04153149,0.7146304716333797
NCT03504488,NCT04163185,0.7633368581046623
NCT03504488,NCT04180488,0.8805919377600087
